topic,hashtags,duration,caption
fashion,designers,46.02,How designers is reshaping runway looks.
music,"rap, live",43.3,Music and live: a powerful duo.
art,"modern, digitalart",17.47,The evolution of modern digitalart.
tech,startups,30.63,The next big thing in tech: startups.
sports,"fitness, training",59.2,Why fitness is more exciting than ever.
fashion,"vintage, summer",17.02,How summer is reshaping runway looks.
food,"pasta, grill",28.84,A cultural dive into grill cuisine.
music,pop,43.64,The controversy around pop in music.
art,"modern, exhibition, gallery",18.24,How gallery is redefining the art scene.
tech,5G,25.07,The next big thing in tech: 5G.
sports,"olympics, football",50.12,Why football is more exciting than ever.
sports,training,52.3,How training builds community and strength.
fashion,"vintage, summer, runway",56.84,This season’s top trends in vintage.
art,"culture, exhibition",13.38,Celebrating creativity through culture.
tech,"5G, startups, innovation",37.77,The next big thing in tech: 5G.
gaming,strategy,35.47,Why everyone is talking about strategy.
gaming,"update, rpg",43.62,Why everyone is talking about update.
fashion,trendy,22.84,How trendy is reshaping runway looks.
news,"election, crisis",47.49,Breaking: What you need to know about crisis.
news,international,23.0,Breaking: What you need to know about international.
news,"crisis, election, local",17.82,The latest update on local.
music,"rap, live, legends",10.28,Music and legends: a powerful duo.
music,"legends, live",29.83,The controversy around legends in music.
art,"culture, exhibition, modern",24.6,How culture is redefining the art scene.
food,"grill, fusion, vegan",48.8,Why everyone’s craving fusion this season.
news,"election, local, international",33.92,Breaking: What you need to know about local.
food,"pasta, fusion, dessert",48.34,Why everyone’s craving fusion this season.
sports,"fitness, worldcup, football",30.95,The hidden benefits of worldcup in daily life.
music,rap,36.58,The controversy around rap in music.
music,legends,31.05,Music and legends: a powerful duo.
gaming,streaming,29.57,streaming is changing how we play.
news,"crisis, international",23.17,Global reaction to crisis.
news,crisis,31.96,Breaking: What you need to know about crisis.
news,local,48.21,Global reaction to local.
news,"crisis, local",22.02,The latest update on crisis.
tech,AI,40.8,How AI is changing the future of technology.
fashion,"designers, vintage",53.84,The timeless appeal of designers in fashion.
sports,olympics,31.4,The hidden benefits of olympics in daily life.
news,local,17.53,Breaking: What you need to know about local.
sports,"worldcup, olympics",42.44,Why worldcup is more exciting than ever.
food,"grill, pasta",58.1,How to make the perfect pasta dish.
music,"rap, AI, pop",42.51,Music and rap: a powerful duo.
music,"legends, rap, pop",38.62,The controversy around rap in music.
gaming,"streaming, strategy",58.1,Why everyone is talking about streaming.
tech,AI,50.8,The next big thing in tech: AI.
art,culture,56.68,How culture is redefining the art scene.
food,grill,36.09,How to make the perfect grill dish.
food,"vegan, grill, fusion",18.69,Why everyone’s craving vegan this season.
fashion,"runway, summer",14.2,How summer is reshaping runway looks.
fashion,runway,38.37,How runway is reshaping runway looks.
sports,"training, worldcup",23.07,How worldcup builds community and strength.
tech,"5G, AI, robotics",26.99,Exploring the impact of robotics in today's world.
tech,"5G, AI",27.94,The next big thing in tech: 5G.
news,update,10.98,The latest update on update.
food,grill,31.51,Why everyone’s craving grill this season.
food,"dessert, vegan",52.42,Why everyone’s craving vegan this season.
gaming,"streaming, rpg, strategy",31.1,The future of gaming with rpg.
fashion,"trendy, summer",45.26,How trendy is reshaping runway looks.
tech,"startups, 5G",56.89,The next big thing in tech: 5G.
art,"gallery, culture, modern",51.03,How culture is redefining the art scene.
sports,"olympics, training, football",54.96,Why football is more exciting than ever.
tech,"innovation, AI",50.41,The next big thing in tech: innovation.
food,"pasta, dessert, grill",55.27,A cultural dive into dessert cuisine.
gaming,streaming,51.0,Why everyone is talking about streaming.
gaming,"streaming, esports, rpg",48.27,esports is changing how we play.
gaming,"update, streaming, strategy",14.47,Why everyone is talking about streaming.
gaming,"update, streaming, strategy",15.13,The future of gaming with strategy.
tech,"startups, 5G, innovation",36.1,Exploring the impact of startups in today's world.
music,"rap, live",40.39,How live shaped modern sound.
food,vegan,47.97,A cultural dive into vegan cuisine.
tech,5G,26.18,How 5G is changing the future of technology.
fashion,"runway, designers, vintage",32.43,The timeless appeal of vintage in fashion.
sports,"training, worldcup",58.54,Why training is more exciting than ever.
tech,AI,16.51,How AI is changing the future of technology.
sports,"olympics, fitness, training",49.78,The hidden benefits of training in daily life.
food,dessert,15.09,A cultural dive into dessert cuisine.
art,exhibition,12.79,How exhibition is redefining the art scene.
sports,fitness,31.66,Why fitness is more exciting than ever.
fashion,trendy,47.32,This season’s top trends in trendy.
news,"international, election",45.08,The latest update on international.
gaming,"rpg, strategy, esports",55.15,The future of gaming with esports.
gaming,"strategy, update, streaming",53.57,Why everyone is talking about strategy.
art,"gallery, modern, exhibition",40.58,How modern is redefining the art scene.
news,"crisis, local",38.76,The latest update on local.
music,AI,51.96,The controversy around AI in music.
news,election,15.93,Breaking: What you need to know about election.
tech,"5G, robotics, AI",21.92,The next big thing in tech: robotics.
music,"pop, rap",39.84,How pop shaped modern sound.
news,"election, crisis",26.33,Global reaction to election.
sports,"olympics, fitness, training",40.99,The hidden benefits of fitness in daily life.
art,digitalart,40.54,Celebrating creativity through digitalart.
music,"AI, pop",54.35,Music and pop: a powerful duo.
fashion,designers,44.68,How designers is reshaping runway looks.
fashion,"trendy, vintage",50.32,The timeless appeal of trendy in fashion.
gaming,"rpg, update",20.42,Why everyone is talking about rpg.
tech,"startups, 5G",51.02,How startups is changing the future of technology.
music,"legends, pop, AI",24.52,How pop shaped modern sound.
sports,"fitness, training, olympics",44.37,The hidden benefits of fitness in daily life.
gaming,esports,29.65,esports is changing how we play.
food,"vegan, grill",18.51,How to make the perfect grill dish.
fashion,"designers, summer, trendy",14.57,The timeless appeal of trendy in fashion.
music,"AI, pop",23.35,Music and pop: a powerful duo.
gaming,"streaming, rpg, update",32.77,streaming is changing how we play.
art,exhibition,46.15,How exhibition is redefining the art scene.
news,"crisis, election",58.6,The latest update on election.
music,AI,37.94,Music and AI: a powerful duo.
tech,"AI, innovation",16.88,How AI is changing the future of technology.
art,modern,11.02,How modern is redefining the art scene.
gaming,streaming,24.01,The future of gaming with streaming.
news,"local, crisis",53.56,Breaking: What you need to know about local.
music,AI,14.27,How AI shaped modern sound.
gaming,strategy,30.89,Why everyone is talking about strategy.
news,crisis,18.21,The latest update on crisis.
news,"crisis, local, election",26.76,Breaking: What you need to know about election.
sports,worldcup,52.09,How worldcup builds community and strength.
art,"digitalart, modern, gallery",14.27,How modern is redefining the art scene.
music,"legends, rap, AI",48.86,Music and legends: a powerful duo.
sports,"football, training",17.7,Why training is more exciting than ever.
food,"dessert, fusion, grill",22.58,A cultural dive into grill cuisine.
music,rap,41.12,How rap shaped modern sound.
fashion,trendy,24.42,The timeless appeal of trendy in fashion.
food,"grill, pasta, dessert",10.97,Why everyone’s craving grill this season.
gaming,strategy,25.45,Why everyone is talking about strategy.
gaming,"streaming, strategy, update",11.53,Why everyone is talking about strategy.
music,"pop, AI",41.38,The controversy around AI in music.
tech,"5G, robotics, startups",15.72,Exploring the impact of 5G in today's world.
fashion,designers,54.73,How designers is reshaping runway looks.
sports,"fitness, worldcup, football",24.83,The hidden benefits of worldcup in daily life.
food,"dessert, grill, vegan",15.32,How to make the perfect vegan dish.
sports,"worldcup, football",10.99,Why worldcup is more exciting than ever.
music,pop,45.43,The controversy around pop in music.
music,live,43.22,Music and live: a powerful duo.
fashion,"vintage, designers",41.37,This season’s top trends in designers.
art,exhibition,46.76,The evolution of modern exhibition.
art,"exhibition, modern, gallery",18.51,Celebrating creativity through exhibition.
sports,training,43.42,The hidden benefits of training in daily life.
art,modern,49.67,The evolution of modern modern.
news,"international, update, local",26.69,Breaking: What you need to know about international.
art,"culture, exhibition, modern",50.2,Celebrating creativity through culture.
gaming,rpg,47.37,rpg is changing how we play.
art,"exhibition, culture",44.03,Celebrating creativity through exhibition.
news,election,57.35,Global reaction to election.
art,modern,56.11,How modern is redefining the art scene.
fashion,"summer, runway",22.81,The timeless appeal of summer in fashion.
news,update,40.25,Global reaction to update.
tech,"innovation, 5G, robotics",49.93,How robotics is changing the future of technology.
gaming,"rpg, esports, update",57.6,Why everyone is talking about esports.
sports,olympics,37.54,Why olympics is more exciting than ever.
art,"exhibition, modern, gallery",19.84,The evolution of modern gallery.
food,pasta,34.63,How to make the perfect pasta dish.
fashion,"summer, vintage, trendy",47.72,The timeless appeal of summer in fashion.
food,dessert,22.16,How to make the perfect dessert dish.
tech,"startups, AI, innovation",17.93,How innovation is changing the future of technology.
tech,robotics,53.74,How robotics is changing the future of technology.
music,"legends, rap",56.7,How legends shaped modern sound.
tech,"5G, startups, AI",27.64,Exploring the impact of startups in today's world.
art,exhibition,36.97,The evolution of modern exhibition.
art,"gallery, digitalart",25.52,How gallery is redefining the art scene.
